image,folder,phase,count,num_raw_candidates,annotated_path
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124505_0127_D.JPG,205_Post_Def_rgb,post,2957,2957,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,205_Post_Def_rgb,post,3165,3165,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124509_0129_D.JPG,205_Post_Def_rgb,post,3231,3231,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124511_0130_D.JPG,205_Post_Def_rgb,post,3114,3114,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124513_0131_D.JPG,205_Post_Def_rgb,post,3141,3141,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124515_0132_D.JPG,205_Post_Def_rgb,post,3019,3019,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124517_0133_D.JPG,205_Post_Def_rgb,post,3186,3186,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,post,3138,3138,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124521_0135_D.JPG,205_Post_Def_rgb,post,3031,3031,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,205_Post_Def_rgb,post,3266,3266,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124525_0137_D.JPG,205_Post_Def_rgb,post,3033,3033,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,205_Post_Def_rgb,post,3773,3773,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124529_0139_D.JPG,205_Post_Def_rgb,post,3345,3345,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124531_0140_D.JPG,205_Post_Def_rgb,post,3278,3278,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124533_0141_D.JPG,205_Post_Def_rgb,post,3101,3101,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124535_0142_D.JPG,205_Post_Def_rgb,post,3022,3022,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124537_0143_D.JPG,205_Post_Def_rgb,post,3092,3092,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124539_0144_D.JPG,205_Post_Def_rgb,post,2982,2982,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124541_0145_D.JPG,205_Post_Def_rgb,post,3099,3099,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124543_0146_D.JPG,205_Post_Def_rgb,post,3060,3060,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124545_0147_D.JPG,205_Post_Def_rgb,post,3073,3073,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124547_0148_D.JPG,205_Post_Def_rgb,post,3181,3181,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124549_0149_D.JPG,205_Post_Def_rgb,post,3253,3253,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124551_0150_D.JPG,205_Post_Def_rgb,post,3375,3375,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124553_0151_D.JPG,205_Post_Def_rgb,post,3373,3373,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124555_0152_D.JPG,205_Post_Def_rgb,post,3392,3392,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124557_0153_D.JPG,205_Post_Def_rgb,post,3458,3458,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124559_0154_D.JPG,205_Post_Def_rgb,post,3422,3422,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124601_0155_D.JPG,205_Post_Def_rgb,post,3604,3604,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124603_0156_D.JPG,205_Post_Def_rgb,post,3467,3467,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124605_0157_D.JPG,205_Post_Def_rgb,post,3530,3530,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124607_0158_D.JPG,205_Post_Def_rgb,post,3493,3493,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124609_0159_D.JPG,205_Post_Def_rgb,post,3681,3681,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124611_0160_D.JPG,205_Post_Def_rgb,post,3701,3701,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124613_0161_D.JPG,205_Post_Def_rgb,post,3642,3642,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124615_0162_D.JPG,205_Post_Def_rgb,post,3605,3605,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124617_0163_D.JPG,205_Post_Def_rgb,post,3589,3589,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124619_0164_D.JPG,205_Post_Def_rgb,post,3437,3437,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124621_0165_D.JPG,205_Post_Def_rgb,post,3478,3478,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,205_Post_Def_rgb,post,3512,3512,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124625_0167_D.JPG,205_Post_Def_rgb,post,3494,3494,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124627_0168_D.JPG,205_Post_Def_rgb,post,3295,3295,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124629_0169_D.JPG,205_Post_Def_rgb,post,3215,3215,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124631_0170_D.JPG,205_Post_Def_rgb,post,3209,3209,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124633_0171_D.JPG,205_Post_Def_rgb,post,3013,3013,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124635_0172_D.JPG,205_Post_Def_rgb,post,2816,2816,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124637_0173_D.JPG,205_Post_Def_rgb,post,3357,3357,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124639_0174_D.JPG,205_Post_Def_rgb,post,3175,3175,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124641_0175_D.JPG,205_Post_Def_rgb,post,3387,3387,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124643_0176_D.JPG,205_Post_Def_rgb,post,3275,3275,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124645_0177_D.JPG,205_Post_Def_rgb,post,3272,3272,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124647_0178_D.JPG,205_Post_Def_rgb,post,3377,3377,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124649_0179_D.JPG,205_Post_Def_rgb,post,3220,3220,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124651_0180_D.JPG,205_Post_Def_rgb,post,2939,2939,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124653_0181_D.JPG,205_Post_Def_rgb,post,3348,3348,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124655_0182_D.JPG,205_Post_Def_rgb,post,2910,2910,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124657_0183_D.JPG,205_Post_Def_rgb,post,3407,3407,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124659_0184_D.JPG,205_Post_Def_rgb,post,3265,3265,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124701_0185_D.JPG,205_Post_Def_rgb,post,3303,3303,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124703_0186_D.JPG,205_Post_Def_rgb,post,3273,3273,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124705_0187_D.JPG,205_Post_Def_rgb,post,3100,3100,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124707_0188_D.JPG,205_Post_Def_rgb,post,3155,3155,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124709_0189_D.JPG,205_Post_Def_rgb,post,3068,3068,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124711_0190_D.JPG,205_Post_Def_rgb,post,3249,3249,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124713_0191_D.JPG,205_Post_Def_rgb,post,3101,3101,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124715_0192_D.JPG,205_Post_Def_rgb,post,3252,3252,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124717_0193_D.JPG,205_Post_Def_rgb,post,3247,3247,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124719_0194_D.JPG,205_Post_Def_rgb,post,3186,3186,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124721_0195_D.JPG,205_Post_Def_rgb,post,3284,3284,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124723_0196_D.JPG,205_Post_Def_rgb,post,3276,3276,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124725_0197_D.JPG,205_Post_Def_rgb,post,3119,3119,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124727_0198_D.JPG,205_Post_Def_rgb,post,3547,3547,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124729_0199_D.JPG,205_Post_Def_rgb,post,3506,3506,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124731_0200_D.JPG,205_Post_Def_rgb,post,3555,3555,
/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124733_0201_D.JPG,205_Post_Def_rgb,post,3472,3472,
