phase,plot_row,plot_col,candidate_count,mean_readiness,mean_volume_cm3_proxy
post,1,1,17,0.65135,5687.43602
post,1,2,18,0.62759,15627.73346
post,1,3,27,0.61406,7206.5711
post,1,4,32,0.63284,9677.89022
post,1,5,32,0.63078,4485.2792
post,1,6,23,0.62407,3182.64072
post,1,7,19,0.62638,5583.55788
post,1,8,16,0.62459,11353.80929
post,1,9,36,0.6273,5545.65714
post,1,10,19,0.63067,3010.45226
post,1,11,16,0.62881,3809.642
post,1,12,16,0.63404,4387.1135
post,1,13,20,0.62138,3979.35888
post,1,14,15,0.63259,3789.10356
post,1,15,16,0.62617,2058.36659
post,1,16,26,0.63703,2820.5784
post,1,17,22,0.62542,16753.5508
post,1,18,9,0.62769,5738.47135
post,1,19,16,0.6134,5569.81033
post,1,20,7,0.62213,8649.71869
post,1,21,19,0.64977,1683.68931
post,1,22,19,0.62458,3396.82783
post,1,23,23,0.62507,2067.76322
post,1,24,20,0.652,4260.68621
post,1,25,38,0.63914,6610.20624
post,1,26,18,0.62807,3798.0133
post,1,27,18,0.63481,9492.21631
post,1,28,19,0.63025,2540.18608
post,1,29,19,0.63592,2682.84338
post,1,30,19,0.62733,2141.54576
post,1,31,3,0.64637,1405.52326
post,1,32,18,0.62112,7431.54141
post,1,33,21,0.63317,10036.46157
post,1,34,33,0.62269,4289.09158
post,1,35,22,0.62558,6535.98778
post,1,36,23,0.63361,2948.85773
post,1,37,16,0.63164,2402.31728
post,1,38,21,0.62946,2476.06487
post,1,39,18,0.64036,2126.23666
post,1,40,28,0.6324,3748.96685
post,1,41,26,0.63863,5985.44473
post,1,42,35,0.63086,5897.9432
post,1,43,15,0.6209,2710.96444
post,2,1,21,0.6291,12716.79218
post,2,2,37,0.63832,4229.793
post,2,3,37,0.63201,18255.19131
post,2,4,34,0.63271,5091.64393
post,2,5,34,0.62553,4800.68536
post,2,6,25,0.63687,3355.76573
post,2,7,20,0.63688,8184.50246
post,2,8,18,0.63082,11896.04778
post,2,9,46,0.63564,9428.83745
post,2,10,37,0.63514,3723.16115
post,2,11,31,0.63247,5812.52852
post,2,12,25,0.62403,3205.10308
post,2,13,27,0.6381,3684.61995
post,2,14,27,0.63067,3963.21792
post,2,15,22,0.64245,3683.06318
post,2,16,21,0.6371,3200.82077
post,2,17,28,0.63764,9497.85196
post,2,18,12,0.62459,8901.44297
post,2,19,18,0.64049,7916.86578
post,2,20,20,0.62971,1812.25664
post,2,21,24,0.6283,2149.64118
post,2,22,26,0.6346,4301.66483
post,2,23,26,0.63667,3578.15877
post,2,24,41,0.63758,4276.6668
post,2,25,36,0.63823,12398.03776
post,2,26,27,0.61647,5669.55631
post,2,27,24,0.63747,7039.04261
post,2,28,34,0.63135,4988.12209
post,2,29,19,0.64227,2425.69997
post,2,30,27,0.62262,3135.53455
post,2,31,17,0.62695,1899.68801
post,2,32,29,0.63478,8402.95447
post,2,33,34,0.63948,5087.84203
post,2,34,47,0.63065,10081.95319
post,2,35,49,0.63349,6948.54969
post,2,36,58,0.62936,6253.71911
post,2,37,51,0.64082,4201.87307
post,2,38,60,0.6301,3072.09043
post,2,39,39,0.63265,3650.12042
post,2,40,56,0.63069,3304.88119
post,2,41,40,0.63213,3796.64824
post,2,42,56,0.63007,6434.52652
post,2,43,74,0.62839,3964.31538
post,3,1,41,0.63235,3913.26824
post,3,2,42,0.63857,8519.0528
post,3,3,43,0.62491,5087.36565
post,3,4,31,0.63611,6117.39799
post,3,5,48,0.63541,5175.08714
post,3,6,33,0.63411,8377.99951
post,3,7,34,0.63611,12314.20058
post,3,8,33,0.62712,7511.57546
post,3,9,36,0.62977,8778.99536
post,3,10,45,0.64467,10959.64901
post,3,11,50,0.63249,4398.28096
post,3,12,50,0.62716,9327.01618
post,3,13,37,0.63515,2554.42022
post,3,14,51,0.63536,6984.54227
post,3,15,43,0.64257,5258.60211
post,3,16,24,0.64097,1708.76566
post,3,17,45,0.63493,4073.96859
post,3,18,30,0.63854,2171.81164
post,3,19,30,0.63561,6249.78756
post,3,20,34,0.63467,5817.49531
post,3,21,50,0.64339,8016.3705
post,3,22,51,0.63214,4995.52885
post,3,23,44,0.63955,6842.1307
post,3,24,39,0.62694,5569.10987
post,3,25,52,0.63565,5995.78681
post,3,26,57,0.63705,6440.87962
post,3,27,29,0.6416,2561.4283
post,3,28,50,0.63116,5105.90941
post,3,29,42,0.63656,3212.5289
post,3,30,37,0.63766,2518.98018
post,3,31,54,0.63386,8959.60647
post,3,32,64,0.62698,9629.80785
post,3,33,52,0.63273,11502.01413
post,3,34,71,0.64489,9391.89299
post,3,35,61,0.63337,15814.84442
post,3,36,66,0.63356,6269.8184
post,3,37,65,0.64019,8516.71462
post,3,38,79,0.63741,6431.67363
post,3,39,58,0.6368,5647.31326
post,3,40,81,0.63729,5411.60504
post,3,41,79,0.63755,3938.98069
post,3,42,85,0.64174,7295.90379
post,3,43,105,0.64296,3587.45055
post,4,1,42,0.6305,3531.4637
post,4,2,85,0.63825,7515.67224
post,4,3,102,0.63047,9123.66769
post,4,4,76,0.63682,9301.98345
post,4,5,80,0.63423,6100.80274
post,4,6,66,0.63707,9137.38984
post,4,7,62,0.64406,13132.36863
post,4,8,53,0.64052,10177.17575
post,4,9,61,0.63593,10085.93793
post,4,10,85,0.63866,36714.39996
post,4,11,81,0.63935,16733.94258
post,4,12,97,0.63291,55527.33871
post,4,13,48,0.64061,13439.6237
post,4,14,72,0.63269,35495.21096
post,4,15,69,0.63473,10559.15272
post,4,16,62,0.63864,29736.40783
post,4,17,78,0.65351,19927.59678
post,4,18,101,0.6482,25345.98102
post,4,19,71,0.63625,27455.69806
post,4,20,85,0.63886,17506.88177
post,4,21,91,0.64006,31995.23471
post,4,22,88,0.63964,34860.44668
post,4,23,79,0.63614,16589.25852
post,4,24,89,0.63704,15627.31035
post,4,25,78,0.63351,5556.11321
post,4,26,67,0.63496,7935.33198
post,4,27,66,0.63309,15932.6142
post,4,28,70,0.63921,4177.87568
post,4,29,85,0.63879,5388.96126
post,4,30,63,0.64317,10915.34625
post,4,31,95,0.63693,14211.50815
post,4,32,86,0.64051,20393.19236
post,4,33,110,0.64186,12692.51499
post,4,34,98,0.63588,189302.35939
post,4,35,89,0.63473,260652.41677
post,4,36,95,0.63648,8491.38451
post,4,37,83,0.63742,101486.75243
post,4,38,98,0.64043,12310.82143
post,4,39,89,0.64275,7392.83212
post,4,40,93,0.63908,7904.56683
post,4,41,123,0.63882,7956.30483
post,4,42,108,0.6323,9535.87206
post,4,43,103,0.63616,5963.02081
pre,1,1,9,0.59227,14341.60101
pre,1,2,13,0.58513,1719.01856
pre,1,3,10,0.5869,458.40687
pre,1,4,22,0.59994,1564.57049
pre,1,5,16,0.58065,1140.02739
pre,1,6,12,0.59448,530.37827
pre,1,7,19,0.5968,2855.958
pre,1,8,22,0.58224,2433.59662
pre,1,9,28,0.5818,897.3651
pre,1,10,27,0.58423,807.05296
pre,1,11,36,0.58881,1503.42817
pre,1,12,14,0.57566,1177.87645
pre,1,13,14,0.58559,3091.35293
pre,1,14,21,0.5755,973.23294
pre,1,15,28,0.58657,1315.22989
pre,1,16,14,0.61104,349.57522
pre,1,17,26,0.57511,1645.90726
pre,1,18,30,0.58331,967.67147
pre,1,19,32,0.57159,778.42313
pre,1,20,23,0.58562,10827.23966
pre,1,21,19,0.55826,16567.71589
pre,1,22,19,0.56741,4511.0771
pre,1,23,30,0.569,12312.99433
pre,1,24,16,0.58595,2241.63732
pre,1,25,22,0.58047,944.08773
pre,1,26,17,0.56265,852.85374
pre,1,27,13,0.56198,2065.74104
pre,1,28,17,0.59585,1331.81759
pre,1,29,10,0.59235,700.09466
pre,1,30,13,0.58759,571.03538
pre,1,31,9,0.56849,2805.51051
pre,1,32,13,0.56423,31861.77247
pre,1,33,14,0.59409,1140.83411
pre,1,34,10,0.57304,470.75606
pre,1,35,8,0.64475,324.39983
pre,1,36,13,0.57971,1385.59585
pre,1,37,13,0.56478,571.03283
pre,1,38,25,0.58643,1224.962
pre,1,39,29,0.57661,8246.17241
pre,1,40,40,0.57552,2344.38293
pre,1,41,28,0.5784,722.97081
pre,1,42,12,0.57257,6773.08877
pre,1,43,31,0.58238,2628.11504
pre,2,1,21,0.57898,1287.15247
pre,2,2,34,0.5916,8595.26038
pre,2,3,33,0.5837,1271.82883
pre,2,4,32,0.57328,8128.10197
pre,2,5,42,0.59117,1187.14943
pre,2,6,40,0.58326,4602.97738
pre,2,7,46,0.60372,5068.78925
pre,2,8,62,0.59014,4722.82634
pre,2,9,46,0.58964,1398.26728
pre,2,10,37,0.58154,5304.96129
pre,2,11,46,0.58377,1244.52035
pre,2,12,46,0.58083,4785.39271
pre,2,13,40,0.57625,2844.90401
pre,2,14,35,0.56859,3772.96588
pre,2,15,34,0.57933,1382.96873
pre,2,16,30,0.58981,11061.50493
pre,2,17,28,0.58345,527.89995
pre,2,18,38,0.59281,2564.51404
pre,2,19,39,0.58077,1515.38132
pre,2,20,31,0.57905,3930.67331
pre,2,21,37,0.58717,6427.34221
pre,2,22,36,0.5736,1056.87201
pre,2,23,17,0.57934,737.7969
pre,2,24,19,0.56859,1619.00027
pre,2,25,36,0.57501,1070.05939
pre,2,26,25,0.58949,903.43736
pre,2,27,35,0.5731,1219.29909
pre,2,28,22,0.56593,4241.5714
pre,2,29,19,0.57427,818.95547
pre,2,30,23,0.58155,2212.80279
pre,2,31,26,0.56379,645.11084
pre,2,32,28,0.57006,20339.46532
pre,2,33,20,0.58085,6431.61161
pre,2,34,25,0.5869,3494.90232
pre,2,35,20,0.58907,1262.48765
pre,2,36,18,0.57805,1629.54905
pre,2,37,28,0.57749,1307.10739
pre,2,38,35,0.57409,1612.46009
pre,2,39,45,0.57942,3912.91202
pre,2,40,43,0.57768,6718.75362
pre,2,41,47,0.57931,1390.92819
pre,2,42,35,0.57962,803.95782
pre,2,43,43,0.57933,2944.30978
pre,3,1,75,0.58243,1286.26626
pre,3,2,64,0.59452,14757.06419
pre,3,3,50,0.58819,7077.32235
pre,3,4,64,0.58906,12091.45638
pre,3,5,55,0.58552,10985.73068
pre,3,6,76,0.57957,14082.9261
pre,3,7,78,0.59358,17985.90093
pre,3,8,66,0.58092,11993.58972
pre,3,9,95,0.5902,7543.21882
pre,3,10,71,0.58538,4673.23047
pre,3,11,69,0.59023,24553.49985
pre,3,12,78,0.59187,3959.12685
pre,3,13,72,0.58558,3675.57988
pre,3,14,73,0.5819,11154.13296
pre,3,15,57,0.59296,3362.57106
pre,3,16,65,0.5923,3682.90165
pre,3,17,38,0.59321,6343.96004
pre,3,18,38,0.57594,1607.74212
pre,3,19,50,0.58102,5998.53816
pre,3,20,40,0.5767,15228.22659
pre,3,21,45,0.57604,7311.36193
pre,3,22,49,0.57551,5495.9239
pre,3,23,45,0.57674,2974.44653
pre,3,24,36,0.58971,3589.88509
pre,3,25,34,0.58398,1690.78765
pre,3,26,38,0.57857,1903.15974
pre,3,27,31,0.59036,2894.48694
pre,3,28,37,0.56954,8312.08799
pre,3,29,33,0.5869,964.07549
pre,3,30,32,0.57812,4521.27157
pre,3,31,30,0.58285,18918.71875
pre,3,32,35,0.57624,12487.0506
pre,3,33,32,0.57244,2361.85062
pre,3,34,36,0.58779,2872.2751
pre,3,35,39,0.5726,3207.32102
pre,3,36,34,0.57879,3069.54881
pre,3,37,69,0.57406,852.1862
pre,3,38,41,0.56998,1496.18671
pre,3,39,46,0.57752,10440.15794
pre,3,40,63,0.57433,8002.13649
pre,3,41,59,0.59433,1291.79057
pre,3,42,43,0.58683,5656.58901
pre,3,43,78,0.58326,744.32325
pre,4,1,91,0.59445,4933.47844
pre,4,2,82,0.58574,12787.99964
pre,4,3,121,0.58729,21277.61375
pre,4,4,106,0.58749,117087.58013
pre,4,5,89,0.58877,37373.60283
pre,4,6,97,0.60101,7131.71909
pre,4,7,106,0.57686,28556.36697
pre,4,8,103,0.59535,58741.20661
pre,4,9,130,0.58346,20840.47952
pre,4,10,100,0.58847,13048.88838
pre,4,11,95,0.58692,3258.6912
pre,4,12,138,0.58858,15711.62122
pre,4,13,102,0.59538,32486.14686
pre,4,14,109,0.58375,22260.38009
pre,4,15,82,0.58739,6113.62926
pre,4,16,87,0.58558,28001.0958
pre,4,17,72,0.58992,10129.90306
pre,4,18,73,0.59382,13287.29179
pre,4,19,67,0.58219,32641.9998
pre,4,20,67,0.58125,9862.24718
pre,4,21,57,0.58772,10209.38335
pre,4,22,92,0.5786,12136.46817
pre,4,23,75,0.58977,4874.57884
pre,4,24,53,0.58056,3477.25513
pre,4,25,44,0.59923,1496.17712
pre,4,26,58,0.57392,1675.14118
pre,4,27,65,0.57701,9397.41649
pre,4,28,58,0.58819,7420.21215
pre,4,29,53,0.58109,19810.52089
pre,4,30,55,0.57219,28082.09904
pre,4,31,49,0.57117,36247.51706
pre,4,32,68,0.58519,11429.91022
pre,4,33,74,0.57834,6100.58587
pre,4,34,82,0.58109,11071.76457
pre,4,35,70,0.58815,3150.53048
pre,4,36,52,0.59391,4953.55876
pre,4,37,98,0.58153,1135.62959
pre,4,38,83,0.5849,5003.56047
pre,4,39,61,0.5915,12643.66039
pre,4,40,92,0.58115,3424.6457
pre,4,41,65,0.58612,1846.86106
pre,4,42,64,0.5844,2094.24159
pre,4,43,77,0.58628,683.69688
