source,topic,query,title,year,venue,authors,doi,url,abstract,citations
OpenAlex,agriculture_llm,AgroGPT agricultural vision language model,AgroGPT : Efficient Agricultural Vision-Language Model with Expert Tuning,2025,,"Muhammad Awais, Ali Husain Salem Abdulla Alharthi, Amandeep Kumar, Hisham Cholakkal, Rao Muhammad Anwer",https://doi.org/10.1109/wacv61041.2025.00555,https://openalex.org/W4409262808,"Significant progress has been made in advancing large multimodal conversational models (LMMs), capitalizing on vast repositories of image-text data available online. Despite this progress, these models often encounter substantial domain gaps, hindering their ability to engage in complex conversations across new domains. Recent efforts have aimed to mitigate this issue, albeit relying on domainspecific image-text data to curate instruction-tuning data. However, many domains, such as agriculture, lack such vision-language data. In this work, we propose an approach to construct instruction-tuning data that harnesses vision-only data for the agriculture domain. We utilize diverse agricultural datasets spanning multiple domains, curate class-specific information, and employ large language models (LLMs) to construct an expert-tuning set, resulting in a 70k AgroInstruct. Subsequently, we expert-tuned and created AgroGPT, an efficient LMM that can hold complex agriculture-related conversations and provide useful insights. We also develop AgroEvals for evaluation and compare AgroGPT's performance with large open and closedsource models. AgroGPT excels at identifying fine-grained agricultural concepts, can act as an agriculture expert, and provides helpful information for multimodal agriculture questions. The code, datasets, and models are available at https://github.com/awaisrauf/agroGPT.",21
OpenAlex,agriculture_llm,AgriVLM agricultural visual language large model,A Framework for Agricultural Intelligent Analysis Based on a Visual Language Large Model,2024,Applied Sciences,"Piaofang Yu, Bo Lin",https://doi.org/10.3390/app14188350,https://openalex.org/W4402577759,"Smart agriculture has become an inevitable trend in the development of modern agriculture, especially promoted by the continuous progress of large language models like chat generative pre-trained transformer (ChatGPT) and general language model (ChatGLM). Although these large models perform well in general knowledge learning, they still have certain limitations and errors when facing agricultural professional knowledge about crop disease identification, growth stage judgment, and so on. Agricultural data involves images and texts and other modalities, which play an important role in agricultural production and management. In order to better learn the characteristics of different modal data in agriculture, realize cross-modal data fusion, and thus understand complex application scenarios, we propose a framework AgriVLM that uses a large amount of agricultural data to fine-tune the visual language model to analyze agricultural data. It can fuse multimodal data and provide more comprehensive agricultural decision support. Specifically, it utilizes Q-former as a bridge between an image encoder and a language model to achieve a cross-modal fusion of agricultural images and text data. Then, we apply a Low-Rank adaptive to fine-tune the language model to achieve an alignment between agricultural image features and a pre-trained language model. The experimental results prove that AgriVLM demonstrates great performance in crop disease recognition and growth stage recognition, with recognition accuracy exceeding 90%, demonstrating its capability to analyze different modalities of agricultural data.",19
OpenAlex,agriculture_llm,AgroGPT agricultural vision language model,"Computer Vision Meets Generative Models in Agriculture: Technological Advances, Challenges and Opportunities",2025,Applied Sciences,"Xirun Min, Yuwen Ye, Shuming Xiong, Xiao Chen",https://doi.org/10.3390/app15147663,https://openalex.org/W4412105942,"The integration of computer vision (CV) and generative artificial intelligence (GenAI) into smart agriculture has revolutionised traditional farming practices by enabling real-time monitoring, automation, and data-driven decision-making. This review systematically examines the applications of CV in key agricultural domains, such as crop health monitoring, precision farming, harvesting automation, and livestock management, while highlighting the transformative role of GenAI in addressing data scarcity and enhancing model robustness. Advanced techniques, including convolutional neural networks (CNNs), YOLO variants, and transformer-based architectures, are analysed for their effectiveness in tasks like pest detection, fruit maturity classification, and field management. The survey reveals that generative models, such as generative adversarial networks (GANs) and diffusion models, significantly improve dataset diversity and model generalisation, particularly in low-resource scenarios. However, challenges persist, including environmental variability, edge deployment limitations, and the need for interpretable systems. Emerging trends, such as vision–language models and federated learning, offer promising avenues for future research. The study concludes that the synergy of CV and GenAI holds immense potential for advancing smart agriculture, though scalable, adaptive, and trustworthy solutions remain critical for widespread adoption. This comprehensive analysis provides valuable insights for researchers and practitioners aiming to harness AI-driven innovations in agricultural ecosystems.",13
OpenAlex,agriculture_llm,AgriLLM farmer queries,AgriLLM: Harnessing Transformers for Farmer Queries,2024,arXiv (Cornell University),"Krish Didwania, Pratinav Seth, Aditya Kasliwal, Amit Agarwal",https://doi.org/10.48550/arxiv.2407.04721,https://openalex.org/W4400516903,"Agriculture, vital for global sustenance, necessitates innovative solutions due to a lack of organized domain experts, particularly in developing countries where many farmers are impoverished and cannot afford expert consulting. Initiatives like Farmers Helpline play a crucial role in such countries, yet challenges such as high operational costs persist. Automating query resolution can alleviate the burden on traditional call centers, providing farmers with immediate and contextually relevant information. The integration of Agriculture and Artificial Intelligence (AI) offers a transformative opportunity to empower farmers and bridge information gaps. Language models like transformers, the rising stars of AI, possess remarkable language understanding capabilities, making them ideal for addressing information gaps in agriculture. This work explores and demonstrates the transformative potential of Large Language Models (LLMs) in automating query resolution for agricultural farmers, leveraging their expertise in deciphering natural language and understanding context. Using a subset of a vast dataset of real-world farmer queries collected in India, our study focuses on approximately 4 million queries from the state of Tamil Nadu, spanning various sectors, seasonal crops, and query types.",5
OpenAlex,agriculture_llm,AgriLLM farmer queries,Applying large language models to extract information from crop trait prioritization studies,2025,Plants People Planet,"Erin Farmer, David Brown, Michael A. Gore, Hale Tufan",https://doi.org/10.1002/ppp3.70075,https://openalex.org/W4413024667,"Societal Impact Statement Investigation of farmers', consumers', and other stakeholders' trait preferences is vital for the adoption and impact of improved crop varieties. While qualitative research methods are known to increase the depth and scope of information from respondents, only 5% of previous trait preference studies used qualitative data in their analyses. We show that AI‐based natural language processing, particularly GPTs, is both a time and cost‐effective mechanism for accurately analyzing open‐ended trait preference data. This will contribute to the selection and prioritization of breeding targets to better meet end‐user needs, with implications for food security and health outcomes globally. Summary Crop trait preference research is critical for the development of improved crop varieties, guiding breeding programs in setting trait priorities and targets that represent farmers' and consumers' needs. However, there is a dearth of methodological harmonization in trait preference studies, leading to high heterogeneity in collected data and analysis frameworks, which constrains comparability between studies. Qualitative research tools using open‐ended questions are among the most common methods used to elucidate crop trait preferences, but only a fraction of these data are used in analysis. The ascendance of AI tools in data analysis provides an opportunity to enhance capitalization of these data from open‐ended question types. We use natural language processing (NLP) techniques, including generative pretrained transformer (GPT) models, to elucidate labels from open‐ended question responses and perform multilabel text classification. We compare these labels to pre‐codes from close‐ended questions, as well as to existing crop trait ontology terms. We find that analyzing responses to open‐ended questions using NLP leads to information gain, including an increase in diversity of traits and insight into their social functions. We conclude that using NLP‐based approaches would allow breeding teams to extract trait terms from open‐ended question responses efficiently and to compare these to both existing ontology terms and close‐ended survey data. Our findings reveal the importance of using open‐ended questions to inform survey codes in mixed methods research design for trait preference studies.",2
OpenAlex,agriculture_llm,AgriLLM farmer queries,AgriLLM-India: Empowering Indian Farmers Through Domain-Specific Large Language Models for Agricultural Knowledge and Decision Support,2026,Lecture notes in computer science,"Vijay Kumar Damera, Deepthi Kalavala",https://doi.org/10.1007/978-3-032-15134-6_22,https://openalex.org/W7130662660,,
OpenAlex,agriculture_llm,AgriLLM farmer queries,AgriGPT-Omni: A Unified Speech–Vision–Text Framework for Multilingual Agricultural Intelligence,2026,,"Bo Yang, Lanfei Feng, Yunkui Chen, Yu Zhang, Jianyu Zhang",https://doi.org/10.1145/3774904.3792971,https://openalex.org/W4417296445,"Despite rapid advances in multimodal large language models, agricultural applications remain constrained by the lack of multilingual speech data, unified multimodal architectures, and comprehensive evaluation benchmarks. To address these challenges, we present AgriGPT-Omni, an agricultural omni-framework that integrates speech, vision, and text in a unified framework.(1) First, we construct a scalable data synthesis and collection pipeline that converts agricultural texts and images into training data, resulting in the largest agricultural speech dataset to date, including 492K synthetic and 1.4K real speech samples across six languages.(2) Second, based on this, we train the first agricultural Omni-model via a three-stage paradigm: textual knowledge injection, progressive multimodal alignment, and GRPO-based reinforcement learning, enabling unified reasoning across languages and modalities.(3) We further propose AgriBench-Omni-2K, the first tri-modal benchmark for agriculture, covering diverse speech–vision–text tasks and multilingual slices, with standardized protocols and reproducible tools. Experiments show that AgriGPT-Omni significantly outperforms general-purpose baselines on multilingual and multimodal reasoning as well as real-world speech understanding.",
OpenAlex,agriculture_llm,AgroGPT agricultural vision language model,CPJ: Explainable Agricultural Pest Diagnosis via Caption-Prompt-Judge with LLM-Judged Refinement,2025,ArXiv.org,"Wentao Zhang, Tao Fang, Lina Lu, Lifei Wang, Weihe Zhong",,https://openalex.org/W7118051179,"Accurate and interpretable crop disease diagnosis is essential for agricultural decision-making, yet existing methods often rely on costly supervised fine-tuning and perform poorly under domain shifts. We propose Caption--Prompt--Judge (CPJ), a training-free few-shot framework that enhances Agri-Pest VQA through structured, interpretable image captions. CPJ employs large vision-language models to generate multi-angle captions, refined iteratively via an LLM-as-Judge module, which then inform a dual-answer VQA process for both recognition and management responses. Evaluated on CDDMBench, CPJ significantly improves performance: using GPT-5-mini captions, GPT-5-Nano achieves \textbf{+22.7} pp in disease classification and \textbf{+19.5} points in QA score over no-caption baselines. The framework provides transparent, evidence-based reasoning, advancing robust and explainable agricultural diagnosis without fine-tuning. Our code and data are publicly available at: https://github.com/CPJ-Agricultural/CPJ-Agricultural-Diagnosis.",
OpenAlex,agriculture_llm,AgriVLM agricultural visual language large model,GAE-YOLO: a lightweight multimodal detection framework for tomato smart agriculture with edge computing,2025,Frontiers in Plant Science,"Xiaoke Liu, Wenjie Teng, Haoran Yu, Zhuoyi Yao, Chengzhen Wang",https://doi.org/10.3389/fpls.2025.1712432,https://openalex.org/W4416402758,"Introduction: The advancement of smart agriculture has witnessed increasing applications of computer vision in crop monitoring and management. However, existing approaches remain challenged by high computational complexity, limited real-time capability, and poor multi-task coordination in tomato cultivation scenarios. Methods: To address these limitations, an intelligent tomato management system is proposed based on the Ghost-based Adaptive Efficient You Only Look Once (GAE-YOLO) algorithm. The lightweight architecture of the GAE-YOLO framework is achieved through the replacement of standard convolutional layers with Ghost Convolution (GhostConv) modules, while detection accuracy is significantly improved by the integration of both AReLU activation functions and Effective Intersection over Union (E-IoU) loss optimization. The system, implemented on a Jetson TX2 embedded platform, also incorporates ZED stereo vision for 3D localization and a PyQt6-based visualization platform. Results: When implemented on Jetson TX2, the system achieving 93.5% mean Average Precision at 50% intersection over union (mAP@50) at 10.2 frames per second (FPS), which can be optimized to 27 FPS by employing TensorRT acceleration and 720p resolution for scenarios demanding higher throughput. Furthermore, it establishes standardized assessment systems for tomato maturity and yield prediction, and offers integrated modules for disease diagnosis and agricultural large language model consultation. Discussion: This work establishes a new paradigm for edge computing in agriculture while providing critical technical support for smart farming development.",
OpenAlex,cotton_3d_phenotyping,cotton boll Gaussian Splatting phenotyping,Cotton3DGaussians: Multiview 3D Gaussian Splatting for boll mapping and plant architecture analysis,2025,Computers and Electronics in Agriculture,"Lizhi Jiang, J. F. Sun, Peng W. Chee, Changying Li, Longsheng Fu",https://doi.org/10.1016/j.compag.2025.110293,https://openalex.org/W4408802939,,19
