local_rank,global_rank,phase,source_image,candidate_id,measurement_ready_score,crop_path,ply_path,height_mean,height_std,lint_mean
1,2,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,333,0.8421,outputs/metrics/local_boll_2p5d_reconstruction/crops/001_post_DJI_20250929124623_0166_D_cand333.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/001_post_DJI_20250929124623_0166_D_cand333.ply,0.22039,0.27109,0.1461
2,3,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,393,0.8373,outputs/metrics/local_boll_2p5d_reconstruction/crops/002_post_DJI_20250929124519_0134_D_cand393.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/002_post_DJI_20250929124519_0134_D_cand393.ply,0.24319,0.25673,0.14347
3,8,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,384,0.8221,outputs/metrics/local_boll_2p5d_reconstruction/crops/003_post_DJI_20250929124523_0136_D_cand384.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/003_post_DJI_20250929124523_0136_D_cand384.ply,0.25625,0.26464,0.17785
4,9,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,303,0.8178,outputs/metrics/local_boll_2p5d_reconstruction/crops/004_post_DJI_20250929124519_0134_D_cand303.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/004_post_DJI_20250929124519_0134_D_cand303.ply,0.26201,0.26535,0.17114
5,11,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124621_0165_D.JPG,372,0.8086,outputs/metrics/local_boll_2p5d_reconstruction/crops/005_post_DJI_20250929124621_0165_D_cand372.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/005_post_DJI_20250929124621_0165_D_cand372.ply,0.22732,0.27691,0.14927
6,12,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124703_0186_D.JPG,393,0.8086,outputs/metrics/local_boll_2p5d_reconstruction/crops/006_post_DJI_20250929124703_0186_D_cand393.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/006_post_DJI_20250929124703_0186_D_cand393.ply,0.19778,0.25046,0.11395
7,13,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124613_0161_D.JPG,300,0.8084,outputs/metrics/local_boll_2p5d_reconstruction/crops/007_post_DJI_20250929124613_0161_D_cand300.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/007_post_DJI_20250929124613_0161_D_cand300.ply,0.20583,0.27165,0.13333
8,15,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124611_0160_D.JPG,240,0.8036,outputs/metrics/local_boll_2p5d_reconstruction/crops/008_post_DJI_20250929124611_0160_D_cand240.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/008_post_DJI_20250929124611_0160_D_cand240.ply,0.23308,0.27318,0.15037
9,16,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,264,0.8012,outputs/metrics/local_boll_2p5d_reconstruction/crops/009_post_DJI_20250929124527_0138_D_cand264.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/009_post_DJI_20250929124527_0138_D_cand264.ply,0.25397,0.2742,0.15866
10,18,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,306,0.7997,outputs/metrics/local_boll_2p5d_reconstruction/crops/010_post_DJI_20250929124507_0128_D_cand306.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/010_post_DJI_20250929124507_0128_D_cand306.ply,0.21643,0.2375,0.11786
11,19,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,324,0.7997,outputs/metrics/local_boll_2p5d_reconstruction/crops/011_post_DJI_20250929124519_0134_D_cand324.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/011_post_DJI_20250929124519_0134_D_cand324.ply,0.24911,0.24402,0.15765
12,20,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124647_0178_D.JPG,344,0.7997,outputs/metrics/local_boll_2p5d_reconstruction/crops/012_post_DJI_20250929124647_0178_D_cand344.jpg,outputs/metrics/local_boll_2p5d_reconstruction/ply/012_post_DJI_20250929124647_0178_D_cand344.ply,0.28674,0.25913,0.1842
