local_rank,global_rank,phase,source_image,candidate_id,measurement_ready_score,crop_path,ply_path,height_mean,height_std,lint_mean
1,2,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,333,0.8421,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/001_post_DJI_20250929124623_0166_D_cand333.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/001_post_DJI_20250929124623_0166_D_cand333.ply,0.2148,0.26246,0.13922
2,3,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,393,0.8373,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/002_post_DJI_20250929124519_0134_D_cand393.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/002_post_DJI_20250929124519_0134_D_cand393.ply,0.26321,0.26378,0.16312
3,8,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,384,0.8221,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/003_post_DJI_20250929124523_0136_D_cand384.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/003_post_DJI_20250929124523_0136_D_cand384.ply,0.25538,0.26283,0.17195
4,9,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,303,0.8178,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/004_post_DJI_20250929124519_0134_D_cand303.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/004_post_DJI_20250929124519_0134_D_cand303.ply,0.25932,0.26128,0.1665
5,11,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124621_0165_D.JPG,372,0.8086,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/005_post_DJI_20250929124621_0165_D_cand372.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/005_post_DJI_20250929124621_0165_D_cand372.ply,0.21975,0.26166,0.14032
6,12,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124703_0186_D.JPG,393,0.8086,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/006_post_DJI_20250929124703_0186_D_cand393.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/006_post_DJI_20250929124703_0186_D_cand393.ply,0.2493,0.2681,0.15705
7,13,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124613_0161_D.JPG,300,0.8084,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/007_post_DJI_20250929124613_0161_D_cand300.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/007_post_DJI_20250929124613_0161_D_cand300.ply,0.26409,0.3003,0.17978
8,15,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124611_0160_D.JPG,240,0.8036,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/008_post_DJI_20250929124611_0160_D_cand240.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/008_post_DJI_20250929124611_0160_D_cand240.ply,0.22773,0.26698,0.14857
9,16,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,264,0.8012,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/009_post_DJI_20250929124527_0138_D_cand264.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/009_post_DJI_20250929124527_0138_D_cand264.ply,0.25063,0.27171,0.15487
10,18,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,306,0.7997,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/010_post_DJI_20250929124507_0128_D_cand306.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/010_post_DJI_20250929124507_0128_D_cand306.ply,0.23363,0.24685,0.13445
11,19,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,324,0.7997,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/011_post_DJI_20250929124519_0134_D_cand324.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/011_post_DJI_20250929124519_0134_D_cand324.ply,0.2663,0.26101,0.17758
12,20,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124647_0178_D.JPG,344,0.7997,outputs/metrics/local_boll_2p5d_reconstruction_hd/crops/012_post_DJI_20250929124647_0178_D_cand344.jpg,outputs/metrics/local_boll_2p5d_reconstruction_hd/ply/012_post_DJI_20250929124647_0178_D_cand344.ply,0.27016,0.24685,0.16626
