phase,image,folder,filename,num_candidates,mean_readiness,max_readiness
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095743_0311_D.JPG,Part_one_pre_def_rgb,DJI_20250929095743_0311_D.JPG,100,0.5736,0.6824
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095745_0312_D.JPG,Part_one_pre_def_rgb,DJI_20250929095745_0312_D.JPG,100,0.595,0.7843
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095747_0313_D.JPG,Part_one_pre_def_rgb,DJI_20250929095747_0313_D.JPG,100,0.5801,0.7215
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095749_0314_D.JPG,Part_one_pre_def_rgb,DJI_20250929095749_0314_D.JPG,100,0.5887,0.7202
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095751_0315_D.JPG,Part_one_pre_def_rgb,DJI_20250929095751_0315_D.JPG,100,0.5664,0.766
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095753_0316_D.JPG,Part_one_pre_def_rgb,DJI_20250929095753_0316_D.JPG,100,0.5881,0.7392
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095755_0317_D.JPG,Part_one_pre_def_rgb,DJI_20250929095755_0317_D.JPG,100,0.5676,0.8265
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095757_0318_D.JPG,Part_one_pre_def_rgb,DJI_20250929095757_0318_D.JPG,100,0.5756,0.6964
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095759_0319_D.JPG,Part_one_pre_def_rgb,DJI_20250929095759_0319_D.JPG,100,0.5704,0.763
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095801_0320_D.JPG,Part_one_pre_def_rgb,DJI_20250929095801_0320_D.JPG,100,0.5956,0.7172
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095803_0321_D.JPG,Part_one_pre_def_rgb,DJI_20250929095803_0321_D.JPG,100,0.5704,0.7232
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095805_0322_D.JPG,Part_one_pre_def_rgb,DJI_20250929095805_0322_D.JPG,100,0.5645,0.7925
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095807_0323_D.JPG,Part_one_pre_def_rgb,DJI_20250929095807_0323_D.JPG,100,0.5738,0.7202
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095809_0324_D.JPG,Part_one_pre_def_rgb,DJI_20250929095809_0324_D.JPG,100,0.5604,0.684
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095811_0325_D.JPG,Part_one_pre_def_rgb,DJI_20250929095811_0325_D.JPG,100,0.5671,0.7013
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095813_0326_D.JPG,Part_one_pre_def_rgb,DJI_20250929095813_0326_D.JPG,100,0.5741,0.8007
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095815_0327_D.JPG,Part_one_pre_def_rgb,DJI_20250929095815_0327_D.JPG,100,0.5763,0.7472
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095817_0328_D.JPG,Part_one_pre_def_rgb,DJI_20250929095817_0328_D.JPG,100,0.5822,0.8174
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095819_0329_D.JPG,Part_one_pre_def_rgb,DJI_20250929095819_0329_D.JPG,100,0.5891,0.7741
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095821_0330_D.JPG,Part_one_pre_def_rgb,DJI_20250929095821_0330_D.JPG,100,0.5841,0.7308
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095823_0331_D.JPG,Part_one_pre_def_rgb,DJI_20250929095823_0331_D.JPG,100,0.5875,0.7408
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095825_0332_D.JPG,Part_one_pre_def_rgb,DJI_20250929095825_0332_D.JPG,100,0.5811,0.7155
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095827_0333_D.JPG,Part_one_pre_def_rgb,DJI_20250929095827_0333_D.JPG,100,0.5873,0.7666
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095829_0334_D.JPG,Part_one_pre_def_rgb,DJI_20250929095829_0334_D.JPG,100,0.5765,0.7973
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095831_0335_D.JPG,Part_one_pre_def_rgb,DJI_20250929095831_0335_D.JPG,100,0.5898,0.7266
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095833_0336_D.JPG,Part_one_pre_def_rgb,DJI_20250929095833_0336_D.JPG,100,0.5818,0.7375
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095835_0337_D.JPG,Part_one_pre_def_rgb,DJI_20250929095835_0337_D.JPG,100,0.5812,0.7499
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095837_0338_D.JPG,Part_one_pre_def_rgb,DJI_20250929095837_0338_D.JPG,100,0.5778,0.7409
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095839_0339_D.JPG,Part_one_pre_def_rgb,DJI_20250929095839_0339_D.JPG,100,0.5827,0.766
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095841_0340_D.JPG,Part_one_pre_def_rgb,DJI_20250929095841_0340_D.JPG,100,0.5722,0.7191
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095843_0341_D.JPG,Part_one_pre_def_rgb,DJI_20250929095843_0341_D.JPG,100,0.5909,0.755
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095845_0342_D.JPG,Part_one_pre_def_rgb,DJI_20250929095845_0342_D.JPG,100,0.5919,0.7366
pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095847_0343_D.JPG,Part_one_pre_def_rgb,DJI_20250929095847_0343_D.JPG,100,0.6039,0.7381
