index,phase,source,copied_path,is_anchor,anchor_candidate_rank,anchor_candidate_score
1,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095921_0360_D.JPG,,0,1,0.8766
2,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095923_0361_D.JPG,,0,1,0.8766
3,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095925_0362_D.JPG,,0,1,0.8766
4,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095927_0363_D.JPG,,0,1,0.8766
5,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095929_0364_D.JPG,,0,1,0.8766
6,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095931_0365_D.JPG,,0,1,0.8766
7,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095933_0366_D.JPG,,0,1,0.8766
8,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095935_0367_D.JPG,,0,1,0.8766
9,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095937_0368_D.JPG,,0,1,0.8766
10,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095939_0369_D.JPG,,0,1,0.8766
11,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,,1,1,0.8766
12,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095943_0371_D.JPG,,0,1,0.8766
13,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095945_0372_D.JPG,,0,1,0.8766
14,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095947_0373_D.JPG,,0,1,0.8766
15,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095949_0374_D.JPG,,0,1,0.8766
16,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095951_0375_D.JPG,,0,1,0.8766
17,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095953_0376_D.JPG,,0,1,0.8766
18,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095955_0377_D.JPG,,0,1,0.8766
19,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095957_0378_D.JPG,,0,1,0.8766
20,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095959_0379_D.JPG,,0,1,0.8766
