rank,phase,image,folder,filename,candidate_id,x,y,width,height,center_x,center_y,area_px,mask_major_axis_px,mask_minor_axis_px,lint_fraction,green_fraction,brightness,visibility,measurement_ready_score
1,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095941_0370_D.JPG,Part_one_pre_def_rgb,DJI_20250929095941_0370_D.JPG,371,1695,3647,35,21,1712.5,3657.5,724,34.737,20.842,1.0,0.0,1.0,1.0,0.8766
2,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124623_0166_D.JPG,205_Post_Def_rgb,DJI_20250929124623_0166_D.JPG,333,2091,3210,42,49,2112.0,3234.5,1593,48.632,41.684,0.7857,0.0,0.7857,0.7857,0.8421
3,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,393,4217,3071,49,28,4241.5,3085.0,1110,48.632,27.789,0.8214,0.0,0.8214,0.8214,0.8373
4,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095903_0351_D.JPG,Part_one_pre_def_rgb,DJI_20250929095903_0351_D.JPG,332,674,3501,35,21,691.5,3511.5,676,34.737,20.842,0.9333,0.0,0.9333,0.9333,0.8304
5,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095953_0376_D.JPG,Part_one_pre_def_rgb,DJI_20250929095953_0376_D.JPG,397,1653,0,21,28,1663.5,14.0,531,27.789,20.842,0.9167,0.0,0.9167,0.9167,0.8299
6,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095909_0354_D.JPG,Part_one_pre_def_rgb,DJI_20250929095909_0354_D.JPG,399,2918,3884,35,21,2935.5,3894.5,676,34.737,20.842,0.9333,0.2,1.0,0.9333,0.8291
7,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095755_0317_D.JPG,Part_one_pre_def_rgb,DJI_20250929095755_0317_D.JPG,247,3404,479,35,35,3421.5,496.5,1062,34.737,34.737,0.88,0.0,0.88,0.88,0.8265
8,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124523_0136_D.JPG,205_Post_Def_rgb,DJI_20250929124523_0136_D.JPG,384,2175,3703,35,42,2192.5,3724.0,1110,41.684,34.737,0.7667,0.0,0.7667,0.7667,0.8221
9,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,303,3870,3557,42,42,3891.0,3578.0,1303,41.684,41.684,0.75,0.0556,0.75,0.75,0.8178
10,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095817_0328_D.JPG,Part_one_pre_def_rgb,DJI_20250929095817_0328_D.JPG,357,347,938,28,28,361.0,952.0,676,27.789,27.789,0.875,0.0,0.875,0.875,0.8174
11,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124621_0165_D.JPG,205_Post_Def_rgb,DJI_20250929124621_0165_D.JPG,372,2091,2675,42,49,2112.0,2699.5,1496,48.632,41.684,0.7381,0.0,0.7381,0.7381,0.8086
12,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124703_0186_D.JPG,205_Post_Def_rgb,DJI_20250929124703_0186_D.JPG,393,736,2869,49,42,760.5,2890.0,1496,48.632,41.684,0.7381,0.0,0.7381,0.7381,0.8086
13,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124613_0161_D.JPG,205_Post_Def_rgb,DJI_20250929124613_0161_D.JPG,300,4766,3015,63,35,4797.5,3032.5,1689,62.526,34.737,0.7778,0.0667,0.7778,0.7778,0.8084
14,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100001_0380_D.JPG,Part_one_pre_def_rgb,DJI_20250929100001_0380_D.JPG,387,2772,2744,28,28,2786.0,2758.0,627,27.789,27.789,0.8125,0.0,1.0,0.8125,0.8041
15,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124611_0160_D.JPG,205_Post_Def_rgb,DJI_20250929124611_0160_D.JPG,240,2730,1848,69,42,2764.5,1869.0,2172,69.474,41.684,0.75,0.0,0.75,0.75,0.8036
16,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,205_Post_Def_rgb,DJI_20250929124527_0138_D.JPG,264,4377,1487,28,56,4391.0,1515.0,1207,55.579,27.789,0.7812,0.0,0.7812,0.7812,0.8012
17,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095813_0326_D.JPG,Part_one_pre_def_rgb,DJI_20250929095813_0326_D.JPG,362,500,681,35,28,517.5,695.0,821,34.737,27.789,0.85,0.0,0.9,0.85,0.8007
18,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,205_Post_Def_rgb,DJI_20250929124507_0128_D.JPG,306,4043,2640,49,35,4067.5,2657.5,1255,48.632,34.737,0.7429,0.0,0.7429,0.7429,0.7997
19,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,324,709,3515,49,35,733.5,3532.5,1255,48.632,34.737,0.7429,0.0,0.7429,0.7429,0.7997
20,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124647_0178_D.JPG,205_Post_Def_rgb,DJI_20250929124647_0178_D.JPG,344,1091,2814,35,49,1108.5,2838.5,1255,48.632,34.737,0.7429,0.0,0.7429,0.7429,0.7997
21,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095829_0334_D.JPG,Part_one_pre_def_rgb,DJI_20250929095829_0334_D.JPG,363,778,1167,21,42,788.5,1188.0,772,41.684,20.842,0.8889,0.0,0.9444,0.8889,0.7973
22,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095911_0355_D.JPG,Part_one_pre_def_rgb,DJI_20250929095911_0355_D.JPG,378,2925,2341,35,21,2942.5,2351.5,627,34.737,20.842,0.8667,0.0,0.9333,0.8667,0.795
23,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124653_0181_D.JPG,205_Post_Def_rgb,DJI_20250929124653_0181_D.JPG,398,3925,1230,42,35,3946.0,1247.5,1062,41.684,34.737,0.7333,0.0667,0.7333,0.7333,0.7948
24,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124539_0144_D.JPG,205_Post_Def_rgb,DJI_20250929124539_0144_D.JPG,326,90,987,69,35,124.5,1004.5,1834,69.474,34.737,0.76,0.0,0.76,0.76,0.7938
25,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095929_0364_D.JPG,Part_one_pre_def_rgb,DJI_20250929095929_0364_D.JPG,399,1000,2737,28,35,1014.0,2754.5,821,34.737,27.789,0.85,0.0,0.85,0.85,0.7927
26,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095805_0322_D.JPG,Part_one_pre_def_rgb,DJI_20250929095805_0322_D.JPG,254,5002,2459,28,42,5016.0,2480.0,1014,41.684,27.789,0.875,0.1667,0.875,0.875,0.7925
27,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124511_0130_D.JPG,205_Post_Def_rgb,DJI_20250929124511_0130_D.JPG,154,3279,3168,35,63,3296.5,3199.5,1593,62.526,34.737,0.7556,0.0222,0.7556,0.7333,0.7905
28,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095857_0348_D.JPG,Part_one_pre_def_rgb,DJI_20250929095857_0348_D.JPG,321,577,3911,28,35,591.0,3928.5,772,34.737,27.789,0.8,0.0,1.0,0.8,0.79
29,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124739_0204_D.JPG,205_Post_Def_rgb,DJI_20250929124739_0204_D.JPG,304,1862,827,42,63,1883.0,858.5,1882,62.526,41.684,0.7222,0.0,0.7222,0.7222,0.7886
30,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124539_0144_D.JPG,205_Post_Def_rgb,DJI_20250929124539_0144_D.JPG,340,2105,3411,49,56,2129.5,3439.0,1834,55.579,48.632,0.7143,0.0536,0.7143,0.6786,0.7866
31,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095853_0346_D.JPG,Part_one_pre_def_rgb,DJI_20250929095853_0346_D.JPG,178,1772,3467,28,42,1786.0,3488.0,965,41.684,27.789,0.8333,0.125,0.9583,0.8333,0.786
32,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124557_0153_D.JPG,205_Post_Def_rgb,DJI_20250929124557_0153_D.JPG,232,1987,3884,56,56,2015.0,3912.0,2124,55.579,55.579,0.6875,0.0469,0.6875,0.6875,0.7845
33,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095745_0312_D.JPG,Part_one_pre_def_rgb,DJI_20250929095745_0312_D.JPG,359,764,2543,35,21,781.5,2553.5,627,34.737,20.842,0.8667,0.0,0.8667,0.8667,0.7843
34,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095851_0345_D.JPG,Part_one_pre_def_rgb,DJI_20250929095851_0345_D.JPG,279,3974,3036,21,35,3984.5,3053.5,627,34.737,20.842,0.8667,0.0,0.8667,0.8667,0.7843
35,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100001_0380_D.JPG,Part_one_pre_def_rgb,DJI_20250929100001_0380_D.JPG,396,1348,3314,28,28,1362.0,3328.0,627,27.789,27.789,0.8125,0.0,0.875,0.8125,0.7841
36,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124509_0129_D.JPG,205_Post_Def_rgb,DJI_20250929124509_0129_D.JPG,320,2821,639,56,35,2849.0,656.5,1400,55.579,34.737,0.725,0.0,0.725,0.725,0.7813
37,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,339,1785,2904,42,42,1806.0,2925.0,1207,41.684,41.684,0.6944,0.0278,0.6944,0.6944,0.7806
38,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124601_0155_D.JPG,205_Post_Def_rgb,DJI_20250929124601_0155_D.JPG,305,4252,639,35,69,4269.5,673.5,1786,69.474,34.737,0.74,0.02,0.74,0.74,0.7785
39,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095829_0334_D.JPG,Part_one_pre_def_rgb,DJI_20250929095829_0334_D.JPG,262,1487,3821,28,42,1501.0,3842.0,965,41.684,27.789,0.8333,0.0417,0.875,0.8333,0.7777
40,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095915_0357_D.JPG,Part_one_pre_def_rgb,DJI_20250929095915_0357_D.JPG,268,2536,3293,28,42,2550.0,3314.0,965,41.684,27.789,0.8333,0.0417,0.875,0.8333,0.7777
41,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124517_0133_D.JPG,205_Post_Def_rgb,DJI_20250929124517_0133_D.JPG,198,3904,2869,56,63,3932.0,2900.5,2365,62.526,55.579,0.6806,0.0417,0.6806,0.6806,0.7773
42,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,205_Post_Def_rgb,DJI_20250929124507_0128_D.JPG,365,2043,3738,28,56,2057.0,3766.0,1158,55.579,27.789,0.75,0.0625,0.75,0.75,0.7756
43,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095819_0329_D.JPG,Part_one_pre_def_rgb,DJI_20250929095819_0329_D.JPG,391,2758,2577,28,28,2772.0,2591.0,627,27.789,27.789,0.8125,0.0,0.8125,0.8125,0.7741
44,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095911_0355_D.JPG,Part_one_pre_def_rgb,DJI_20250929095911_0355_D.JPG,392,980,3481,28,28,994.0,3495.0,627,27.789,27.789,0.8125,0.0,0.8125,0.8125,0.7741
45,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,284,702,3050,42,49,723.0,3074.5,1400,48.632,41.684,0.6905,0.0238,0.6905,0.6905,0.7737
46,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124521_0135_D.JPG,205_Post_Def_rgb,DJI_20250929124521_0135_D.JPG,347,2543,3460,42,49,2564.0,3484.5,1400,48.632,41.684,0.6905,0.0238,0.6905,0.6905,0.7737
47,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124527_0138_D.JPG,205_Post_Def_rgb,DJI_20250929124527_0138_D.JPG,394,4815,3550,35,42,4832.5,3571.0,1014,41.684,34.737,0.7,0.0333,0.7,0.7,0.7735
48,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124521_0135_D.JPG,205_Post_Def_rgb,DJI_20250929124521_0135_D.JPG,244,723,3640,56,49,751.0,3664.5,1834,55.579,48.632,0.6786,0.0179,0.6786,0.6786,0.7716
49,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124705_0187_D.JPG,205_Post_Def_rgb,DJI_20250929124705_0187_D.JPG,330,4002,2633,49,56,4026.5,2661.0,1834,55.579,48.632,0.6786,0.0179,0.6786,0.6786,0.7716
50,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095951_0375_D.JPG,Part_one_pre_def_rgb,DJI_20250929095951_0375_D.JPG,277,1848,3342,21,42,1858.5,3363.0,724,41.684,20.842,0.8333,0.0,0.9444,0.8333,0.7677
51,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095827_0333_D.JPG,Part_one_pre_def_rgb,DJI_20250929095827_0333_D.JPG,396,1737,2272,28,28,1751.0,2286.0,627,27.789,27.789,0.8125,0.125,0.8125,0.8125,0.7666
52,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124525_0137_D.JPG,205_Post_Def_rgb,DJI_20250929124525_0137_D.JPG,192,4953,2765,56,49,4981.0,2789.5,1834,55.579,48.632,0.6786,0.1071,0.6786,0.6786,0.7663
53,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124619_0164_D.JPG,205_Post_Def_rgb,DJI_20250929124619_0164_D.JPG,384,3078,861,42,56,3099.0,889.0,1593,55.579,41.684,0.6875,0.0417,0.6875,0.6875,0.7661
54,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095751_0315_D.JPG,Part_one_pre_def_rgb,DJI_20250929095751_0315_D.JPG,385,5224,604,35,28,5241.5,618.0,772,34.737,27.789,0.8,0.0,0.85,0.8,0.766
55,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095839_0339_D.JPG,Part_one_pre_def_rgb,DJI_20250929095839_0339_D.JPG,317,0,2293,28,35,14.0,2310.5,772,34.737,27.789,0.8,0.0,0.85,0.8,0.766
56,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124519_0134_D.JPG,205_Post_Def_rgb,DJI_20250929124519_0134_D.JPG,363,2432,2661,49,35,2456.5,2678.5,1158,48.632,34.737,0.6857,0.0,0.7143,0.6857,0.7643
57,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124607_0158_D.JPG,205_Post_Def_rgb,DJI_20250929124607_0158_D.JPG,240,3967,3411,56,63,3995.0,3442.5,2317,62.526,55.579,0.6667,0.0972,0.6667,0.6667,0.7641
58,pre,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929095759_0319_D.JPG,Part_one_pre_def_rgb,DJI_20250929095759_0319_D.JPG,376,4988,1181,35,28,5005.5,1195.0,772,34.737,27.789,0.8,0.05,0.85,0.8,0.763
59,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124507_0128_D.JPG,205_Post_Def_rgb,DJI_20250929124507_0128_D.JPG,236,959,3057,28,69,973.0,3091.5,1448,69.474,27.789,0.75,0.0,0.75,0.75,0.7629
60,post,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929124559_0154_D.JPG,205_Post_Def_rgb,DJI_20250929124559_0154_D.JPG,188,4835,2466,56,69,4863.0,2500.5,2510,69.474,55.579,0.675,0.075,0.675,0.65,0.7628
