frame_index,source_image,phase,folder,viewer_image,sparse_split,split_frame_index
0,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929125144_0324_D.JPG,post,205_Post_Def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00000_post_DJI_20250929125144_0324_D.JPG,balanced_4_per_group,0
1,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929125148_0326_D.JPG,post,205_Post_Def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00001_post_DJI_20250929125148_0326_D.JPG,balanced_4_per_group,1
2,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929125150_0327_D.JPG,post,205_Post_Def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00002_post_DJI_20250929125150_0327_D.JPG,balanced_4_per_group,2
3,/Volumes/T9/ICML/205_Post_Def_rgb/DJI_20250929125152_0328_D.JPG,post,205_Post_Def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00003_post_DJI_20250929125152_0328_D.JPG,balanced_4_per_group,3
8,/Volumes/T9/ICML/Post_def_rgb_part1/DJI_20250929125144_0324_D.JPG,post,Post_def_rgb_part1,outputs/reconstruction_inputs/icml_dataset_sample/images/00008_post_DJI_20250929125144_0324_D.JPG,balanced_4_per_group,4
9,/Volumes/T9/ICML/Post_def_rgb_part1/DJI_20250929125148_0326_D.JPG,post,Post_def_rgb_part1,outputs/reconstruction_inputs/icml_dataset_sample/images/00009_post_DJI_20250929125148_0326_D.JPG,balanced_4_per_group,5
10,/Volumes/T9/ICML/Post_def_rgb_part1/DJI_20250929125150_0327_D.JPG,post,Post_def_rgb_part1,outputs/reconstruction_inputs/icml_dataset_sample/images/00010_post_DJI_20250929125150_0327_D.JPG,balanced_4_per_group,6
11,/Volumes/T9/ICML/Post_def_rgb_part1/DJI_20250929125152_0328_D.JPG,post,Post_def_rgb_part1,outputs/reconstruction_inputs/icml_dataset_sample/images/00011_post_DJI_20250929125152_0328_D.JPG,balanced_4_per_group,7
16,/Volumes/T9/ICML/part3_post_def_rgb/DJI_20250929121717_0101_D.JPG,post,part3_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00016_post_DJI_20250929121717_0101_D.JPG,balanced_4_per_group,8
17,/Volumes/T9/ICML/part3_post_def_rgb/DJI_20250929122013_0189_D.JPG,post,part3_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00017_post_DJI_20250929122013_0189_D.JPG,balanced_4_per_group,9
18,/Volumes/T9/ICML/part3_post_def_rgb/DJI_20250929122029_0197_D.JPG,post,part3_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00018_post_DJI_20250929122029_0197_D.JPG,balanced_4_per_group,10
19,/Volumes/T9/ICML/part3_post_def_rgb/DJI_20250929122033_0199_D.JPG,post,part3_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00019_post_DJI_20250929122033_0199_D.JPG,balanced_4_per_group,11
20,/Volumes/T9/ICML/part4_post_def_rgb/DJI_20250929121413_0009_D.JPG,post,part4_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00020_post_DJI_20250929121413_0009_D.JPG,balanced_4_per_group,12
21,/Volumes/T9/ICML/part4_post_def_rgb/DJI_20250929121417_0011_D.JPG,post,part4_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00021_post_DJI_20250929121417_0011_D.JPG,balanced_4_per_group,13
22,/Volumes/T9/ICML/part4_post_def_rgb/DJI_20250929121421_0013_D.JPG,post,part4_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00022_post_DJI_20250929121421_0013_D.JPG,balanced_4_per_group,14
23,/Volumes/T9/ICML/part4_post_def_rgb/DJI_20250929121425_0015_D.JPG,post,part4_post_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00023_post_DJI_20250929121425_0015_D.JPG,balanced_4_per_group,15
4,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100533_0546_D.JPG,pre,Part_one_pre_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00004_pre_DJI_20250929100533_0546_D.JPG,balanced_4_per_group,16
5,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100537_0548_D.JPG,pre,Part_one_pre_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00005_pre_DJI_20250929100537_0548_D.JPG,balanced_4_per_group,17
6,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100609_0564_D.JPG,pre,Part_one_pre_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00006_pre_DJI_20250929100609_0564_D.JPG,balanced_4_per_group,18
7,/Volumes/T9/ICML/Part_one_pre_def_rgb/DJI_20250929100901_0647_D.JPG,pre,Part_one_pre_def_rgb,outputs/reconstruction_inputs/icml_dataset_sample/images/00007_pre_DJI_20250929100901_0647_D.JPG,balanced_4_per_group,19
